"lat","lon","Name","Phonetic","PostalCode","Address","都道府県"
"36.359907","138.1943122","若林醸造","わかばやしじょうぞう","〒386-1325","長野県上田市中野466","長野県"
"36.6579506","138.1858969","よしのや","よしのや","〒380-0857","長野県長野市西之門町941","長野県"
"37.1622772","138.173961","田中酒造","たなかしゅぞう","〒949-1701","新潟県上越市長浜129-1","新潟県"
"34.8329862","138.1734691","大村屋酒造場","おおむらやしゅぞうじょう","〒427-0022","静岡県島田市本通1-1-8","静岡県"
"36.5919217","138.1523767","酒千蔵野","しゅせんくらの","〒381-2226","長野県長野市川中島町今井368-1","長野県"
"35.9918319","138.1510856","諏訪大津屋本家酒造","すわおおつやほんけしゅぞう","〒391-0001","長野県茅野市ちの2998番地","長野県"
"36.4914494","138.1508205","坂井銘醸","さかいめいじょう","〒389-0804","長野県千曲市戸倉1855-1","長野県"
"36.6198653","138.1328664","東飯田酒造店","ひがしいいだしゅぞうてん","〒381-2235","長野県長野市篠ノ井小松原1724","長野県"
"36.6203819","138.1323358","西飯田酒造店","にしいいだしゅぞうてん","〒381-2235","長野県長野市篠ノ井小松原1726","長野県"
"36.5066278","138.1291846","天法酒造","てんぽうしゅぞう","〒389-0803","長野県千曲市大字千本柳659","長野県"
"36.0398363","138.122978","宮坂醸造","みやさかじょうぞう","〒392-0006","長野県諏訪市元町1-16","長野県"
"36.0418026","138.121217","酒ぬのや本金酒造","さけぬのやほんきんしゅぞう","〒392-0004","長野県諏訪市諏訪2丁目8-21","長野県"
"36.0424164","138.1209337","麗人酒造","れいじんしゅぞう","〒392-0004","長野県諏訪市諏訪2-9-21","長野県"
"36.0414749","138.1205865","伊東酒造","いとうしゅぞう","〒392-0004","長野県諏訪市諏訪2-3-6","長野県"
"36.0425941","138.1203059","舞姫酒造","まいひめしゅぞう","〒392-0004","長野県諏訪市諏訪2-9-25","長野県"
"36.0754892","138.0867274","菱友醸造","ひしともじょうぞう","〒393-0061","長野県諏訪郡下諏訪町御田町3205-17","長野県"
"34.7599765","138.0848675","森本酒造","もりもとしゅぞう","〒439-0006","静岡県菊川市堀之内103-3","静岡県"
"34.6546772","138.0835749","石川酒造","いしかわしゅぞう","〒437-1613","静岡県御前崎市合戸1319","静岡県"
"34.7457388","138.0796938","白松酒造","しらまつしゅぞう","〒439-0031","静岡県菊川市加茂750","静岡県"
"36.5163732","138.0756243","長野銘醸","ながのめいじょう","〒387-0023","長野県千曲市八幡275","長野県"
"36.0682754","138.05395","高天酒造","こうてんしゅぞう","〒394-0022","長野県岡谷市銀座2-2-17","長野県"
"36.0616121","138.0457732","豊島屋","としまや","〒394-0028","長野県岡谷市本町3-9-1","長野県"
"34.7170021","138.0449985","土井酒造場","どいしゅぞうじょう","〒437-1407","静岡県掛川市小貫633","静岡県"
"35.8303709","138.026982","仙醸","せんじょう","〒396-0295","長野県伊那市高遠町上山田2432","長野県"
"36.5728413","138.0150737","尾澤酒造場","おざわしゅぞうじょう","〒381-2405","長野県長野市信州新町新町168-1","長野県"
"36.425325","138.0148706","山清酒造","さんせいしゅぞう","〒399-7601","長野県東筑摩郡筑北村坂北1720","長野県"
"36.2237883","137.996757","岩波酒造","いわなみしゅぞう","〒390-0221","長野県松本市里山辺5159","長野県"
"35.9139845","137.986033","山岸酒店","やまぎしさけてん","〒399-4601","長野県上伊那郡箕輪町中箕輪9549","長野県"
"34.6808661","137.9855371","山中酒造","やまなかしゅぞう","〒437-1301","静岡県掛川市横須賀61","静岡県"
"36.2356693","137.9763309","善哉酒造","よいかなしゅぞう","〒390-0874","長野県松本市大手5-4-24","長野県"
"36.1033215","137.9743478","笑亀酒造","しょうきしゅぞう","〒399-0712","長野県塩尻市塩尻町140","長野県"
"36.2313694","137.9686542","奥澤商会","おくざわしょうかい","〒390-0811","長野県松本市中央2-1-20","長野県"
"36.042785","137.9685552","小野酒造店","おのしゅぞうてん","〒399-0601","長野県上伊那郡辰野町小野992-1","長野県"
"36.1206386","137.9650171","丸永酒造場","まるながしゅぞうじょう","〒399-0703","長野県塩尻市広丘高出840","長野県"
"35.837827","137.9587405","漆戸醸造","うるしどじょうぞう","〒396-0021","長野県伊那市西町4875-1","長野県"
"35.8414237","137.9581182","宮島酒店","みやじまさけてん","〒396-0025","長野県伊那市荒井3629番地1","長野県"
"36.2481913","137.9491776","笹井酒造","ささいしゅぞう","〒390-0851","長野県松本市島内3682","長野県"
"35.8259005","137.948789","大國酒造","おおくにしゅぞう","〒399-4431","長野県伊那市西春近2161-1","長野県"
"35.6378473","137.9474854","米澤酒造","よねざわしゅぞう","〒399-3801","長野県上伊那郡中川村大草4182-1","長野県"
